factor,q,p_value,year
road_density,0.6872703431001457,0.08755855284525144,2018
new_energy_vehicles,0.632594008375355,0.14125805292565816,2018
night_light,0.6259197037997422,0.14883156320135513,2018
electricity,0.5479609103205384,0.25306593430376,2018
gdp,0.26703647195985014,0.761926724398405,2018
population,0.2620585745625571,0.7704606233251505,2018
gas_supply,0.0,1.0,2018
lpg_supply,0.0,1.0,2018
fvc_mean,,,2018
road_density,0.7392237548245433,0.050085407282687525,2019
gas_supply,0.7365720894923308,0.05169109219307892,2019
night_light,0.6386973737100496,0.13452566544112957,2019
new_energy_vehicles,0.6329471842570089,0.1408634385305807,2019
electricity,0.5996519287447708,0.18075986972061017,2019
population,0.18983249490153287,0.8810029530133786,2019
gdp,0.18209088865471623,0.8910844072745447,2019
lpg_supply,0.024641801863846013,0.9990092759765307,2019
fvc_mean,,,2019
gas_supply,0.715985391643969,0.06526132319531626,2020
new_energy_vehicles,0.6019071429666873,0.17788736465694666,2020
night_light,0.5889745958808792,0.19468883934487127,2020
electricity,0.5572967485852773,0.23912062898869438,2020
road_density,0.29900235077050563,0.7050711696521035,2020
population,0.2107716136926372,0.8518559654269826,2020
gdp,0.18850426679728893,0.8827602303316846,2020
lpg_supply,0.09454390263441281,0.974905491313506,2020
fvc_mean,,,2020
gas_supply,0.8072637955804692,0.019130847729351964,2021
night_light,0.678549352607702,0.09512762204450712,2021
electricity,0.6216788269391125,0.15375807737260813,2021
lpg_supply,0.38677103840067817,0.5385027372343074,2021
road_density,0.3718294392355308,0.567275146158593,2021
population,0.21417553774604747,0.8468721232624395,2021
gdp,0.1983949861024813,0.8694069523123024,2021
new_energy_vehicles,,,2021
fvc_mean,,,2021
gas_supply,0.7482034122305692,0.044883303465509866,2022
night_light,0.6364712956485632,0.1369597345447805,2022
gdp,0.6067855900770833,0.1717573021811543,2022
electricity,0.5465426681279045,0.2552169398816785,2022
road_density,0.45093741767786155,0.4171825669351027,2022
lpg_supply,0.3172068536495851,0.6714061081414652,2022
population,0.19903303481935541,0.8685246160687068,2022
new_energy_vehicles,,,2022
fvc_mean,,,2022
electricity,0.6353614348169011,0.13818249169384084,2023
new_energy_vehicles,0.6353614348169011,0.13818249169384084,2023
night_light,0.5862727134508268,0.19829892631697946,2023
gdp,0.5850580333118862,0.19993304268523798,2023
road_density,0.4804566067525936,0.3640349496633295,2023
lpg_supply,0.27076328485494994,0.755475691474058,2023
population,0.09013076370795814,0.977545435099008,2023
gas_supply,0.0,1.0,2023
fvc_mean,,,2023
