city,year,pm25,population,gdp,electricity,gas_supply,lpg_supply,new_energy_vehicles,road_density,night_light,fvc_mean
保定,2018,53.680790060532935,935.93,3526.61,3817159.0,53986.0,5602,16371.0,0.8030411954128358,10.2347159603,6621.371092407207
北京,2018,44.17860722972595,2154.2,30320.0,11423809.0,1915978.0,481775,237629.0,2.064237243806189,21.8227231191,6621.371092407207
唐山,2018,47.51871049758214,758.08,6300.03,7955282.0,85316.0,18327,9034.0,1.095821095287605,18.8090181921,6621.371092407207
天津,2018,52.69319827653107,1383.0,13362.9,8614388.0,501030.0,57326,125486.0,2.079038336482722,32.2453064263,6621.371092407207
廊坊,2018,55.11591661232468,479.5,3033.11,2865949.0,37416.0,4159,4460.0,1.197062484323166,25.3560960399,6621.371092407207
张家口,2018,31.56908177459575,443.36,1429.29,1654839.0,13743.0,24249,1075.0,0.4512925678734626,2.33813849752,6621.371092407207
承德,2018,30.40715380633385,357.89,1376.09,1697976.0,5295.0,4986,706.0,0.2295555572753262,1.59094134942,6621.371092407207
沧州,2018,56.115032059883234,758.6,3266.93,3385062.0,14752.0,3321,3489.0,1.29524237759878,15.1909516163,6621.371092407207
石家庄,2018,60.375893021026286,1095.16,5375.09,4975000.0,51369.97,29211,11113.0,1.502313157687422,13.3742366141,6621.371092407207
秦皇岛,2018,39.70291384063123,313.42,1507.33,1545332.0,60995.0,1182,1132.0,0.5395198732477184,9.07985757884,6621.371092407207
衡水,2018,59.55949440739458,447.24,1381.81,1527562.0,12213.0,3635,1985.0,1.019143565037683,8.34452736318,6621.371092407207
邢台,2018,62.422212798644686,737.44,1947.58,2763152.0,26203.0,923,12163.0,1.539796796534698,10.3171359614,6621.371092407207
邯郸,2018,63.05725005576266,952.8,3259.22,4070411.0,53766.0,358,5517.0,1.123432601307885,12.5238490942,6621.371092407207
保定,2019,48.689249640742965,1063.0,3772.2,3951635.0,55353.0,3498,37113.0,0.8350385385989207,11.8452209197,6521.640652609887
北京,2019,38.8603655739097,2153.6,35371.3,11663964.0,1924347.0,434286,335034.0,2.189572959796599,24.2008528785,6521.640652609887
唐山,2019,46.26620326301061,759.6,6890.03,8615362.0,84190.0,18130,11630.0,1.123419321992539,20.6401925391,6521.640652609887
天津,2019,50.32582863851584,1385.0,14104.3,8784332.0,536544.0,52996,163899.0,2.214563096291578,34.3326441155,6521.640652609887
廊坊,2019,50.75083610152288,492.05,3196.02,2867113.0,38875.0,5420,6796.0,1.303648766033424,27.7620829436,6521.640652609887
张家口,2019,28.07981597031081,442.33,1551.06,1770974.0,9999.0,818,1864.0,0.5735843810843445,2.72276015884,6521.640652609887
承德,2019,27.36782479480432,358.27,1471.0,1888415.0,7705.0,4935,988.0,0.2366231046908399,1.90690424292,6521.640652609887
沧州,2019,53.163937038122185,754.43,3587.96,3613684.0,13382.0,1100,5635.0,1.813676454233979,16.7951546464,6521.640652609887
石家庄,2019,54.91796403626567,1103.12,5809.94,5469998.0,111908.0,44380,18816.0,1.644551997738088,14.9245135634,6521.640652609887
秦皇岛,2019,39.655080326505214,314.63,1612.02,1504480.0,78904.0,2128,1905.0,0.5977184556239686,9.65259409969,6521.640652609887
衡水,2019,56.08696499501973,448.6,1504.93,1616764.0,12574.0,4571,3198.0,1.943228570785431,10.433627318,6521.640652609887
邢台,2019,58.44721836478714,739.52,2119.96,2926301.0,26100.0,890,15501.0,1.688466889160599,12.9329847144,6521.640652609887
邯郸,2019,60.42307530553668,954.97,3486.05,4276139.0,59750.0,297,7924.0,1.390873605940462,14.698936347,6521.640652609887
保定,2020,43.91391392492767,1154.4,3954.3,4047000.0,52023.0,3238,39260.0,1.088000492290518,11.3703336786,6579.05659237399
北京,2020,35.38132031035604,2189.3,36102.6,11399700.0,1854130.0,318293,418321.0,2.426113262728108,23.7006342237,6579.05659237399
唐山,2020,41.285927747445726,771.8,7210.9,8686800.0,99595.0,14266,16329.0,1.250296854435515,18.6514722537,6579.05659237399
天津,2020,45.29417647192554,1386.6,14083.7,9727600.0,572058.0,48666,202017.0,2.464865366304916,32.2815654476,6579.05659237399
廊坊,2020,45.920973327677686,546.41,3301.1,2926200.0,60801.0,6267,9281.0,1.847588781518646,26.546332347,6579.05659237399
张家口,2020,26.776829802887907,411.89,1600.1,1891600.0,9582.0,903,2643.0,0.7040863654909679,2.87052454021,6579.05659237399
承德,2020,26.188987913596534,335.44,1550.3,2008700.0,6310.0,6194,1448.0,0.3216240589581062,2.09717542749,6579.05659237399
沧州,2020,48.37047859100758,730.08,3699.87,3809500.0,12764.0,855,9467.0,1.994944087651268,15.0660897481,6579.05659237399
石家庄,2020,49.510572280593095,1123.51,5935.1,5112200.0,144925.0,18278,29216.0,1.938211193520639,13.5262521343,6579.05659237399
秦皇岛,2020,35.31213042867373,313.69,1685.8,1502600.0,63426.0,5773,2931.0,0.6244195793432122,9.1503883866,6579.05659237399
衡水,2020,50.73735363558084,421.29,1560.2,1633500.0,13909.0,3309,4395.0,2.446703501727196,9.09366859214,6579.05659237399
邢台,2020,51.67490778216215,702.56,2200.4,2890300.0,28203.0,1926,17951.0,2.007379313935145,11.8490140845,6579.05659237399
邯郸,2020,53.37826234413888,941.4,3636.6,4466500.0,61160.0,269,12039.0,2.090634870203707,13.4733001658,6579.05659237399
保定,2021,40.98174292704762,1028.32,4088.7,3998100.0,53510.0,1570,,1.154636145110528,12.515648219,6575.424747662308
北京,2021,32.88331756653456,2188.6,40269.6,12329200.0,1906214.0,428603,,3.130270104534254,23.9682888157,6575.424747662308
唐山,2021,39.2587031656999,769.7,8230.6,9121300.0,117948.0,12110,,1.417281069015002,19.342511325,6575.424747662308
天津,2021,40.67575453411138,1373.0,15695.1,9822900.0,664135.0,87899,,2.610409485460982,32.6390038061,6575.424747662308
廊坊,2021,41.990215550174575,553.82,3553.1,3319500.0,70031.0,9074,,2.251349786492508,27.7025385454,6575.424747662308
张家口,2021,27.34232103591348,409.91,1727.8,2100000.0,11936.0,8343,,0.8107706196459189,3.13586897377,6575.424747662308
承德,2021,26.82642846225373,333.63,1697.0,2270100.0,7510.0,3657,,0.3386091740953311,2.31070297657,6575.424747662308
沧州,2021,42.34125921071063,730.4,4163.4,4240600.0,14595.0,855,,2.030094483956974,16.3743457324,6575.424747662308
石家庄,2021,44.048875035866345,1120.47,6490.3,5395900.0,90044.0,18205,,1.964386212725461,13.9649971542,6575.424747662308
秦皇岛,2021,34.58627974791509,313.43,1843.8,1817300.0,69717.0,6547,,0.7071016589563297,10.0736024449,6575.424747662308
衡水,2021,44.30244355876261,418.69,1703.1,1738800.0,13551.0,3314,,2.451303457352504,10.539585457,6575.424747662308
邢台,2021,45.334545183208185,701.38,2427.1,3283500.0,27879.0,1703,,2.028621323581661,12.8834607646,6575.424747662308
邯郸,2021,46.66216472617553,936.7,4114.8,4796800.0,61039.0,396,,2.123259144139595,14.4141791045,6575.424747662308
保定,2022,36.89917764132454,914.4,4262.9,4574904.5,54671.0,2470,,1.25357405268062,15.9681181609,6537.050109989141
北京,2022,29.6958787849055,2184.3,41610.9,12953489.0,1991095.0,156679,,3.981585092092081,27.3147335041,6537.050109989141
唐山,2022,34.81533916966683,770.6,8900.7,9372835.5,82116.0,14123,,1.876401605485102,22.738887316,6537.050109989141
天津,2022,37.14465257253736,1363.0,16311.3,10166121.0,670400.0,102224,,2.757898012024509,34.2142975343,6537.050109989141
廊坊,2022,39.17564216092549,549.53,3565.3,3511694.0,78978.0,6695,,2.343382792398531,30.1236567513,6537.050109989141
张家口,2022,22.60476240827947,407.46,1775.3,2263717.5,12274.0,6210,,0.954422238731799,7.43130373272,6537.050109989141
承德,2022,22.300167558533964,330.44,1780.2,2368602.5,9174.0,3866,,0.3660261220879258,6.08767574414,6537.050109989141
沧州,2022,39.85727768161311,731.48,4388.2,4548506.0,13326.0,805,,2.120014446815574,20.0202386768,6537.050109989141
石家庄,2022,43.017527590237314,1122.35,7100.6,5907625.5,79905.0,17204,,2.020691486443865,17.9730364257,6537.050109989141
秦皇岛,2022,30.518372561852814,309.81,1909.5,1905604.0,64157.0,5704,,0.7483866040246266,14.3955176366,6537.050109989141
衡水,2022,43.71734473177414,416.65,1800.5,1810656.5,13026.0,5761,,2.46692799528115,15.8177596557,6537.050109989141
邢台,2022,45.37921396740295,702.56,2546.9,3534954.0,27924.0,1805,,2.064797737516539,16.9524346076,6537.050109989141
邯郸,2022,47.62725626759731,928.1,4346.3,4882526.5,62089.0,431,,2.167513399862907,18.4631011609,6537.050109989141
保定,2023,38.501863263977945,909.89,4012.2,5151709.0,37564.0,3370,115328.0,1.290134293059794,14.7039221866979,4290.8758926384035
北京,2023,33.176298000324906,2185.8,43760.7,13577778.0,2011672.0,123000,917697.0,4.088556903535646,27.0010367117941,4290.8758926384035
唐山,2023,39.883203257562286,771.86,9133.3,9624371.0,81674.0,16136,104086.0,1.983138495393377,22.9745186862967,4290.8758926384035
天津,2023,43.01336220298324,1364.0,17024.3,10509342.0,675018.0,116549,529618.0,2.777440815349394,36.1344530862155,4290.8758926384035
廊坊,2023,43.87204731165082,546.41,3608.3,3703888.0,60006.0,4316,62898.0,2.361751872774342,32.6232674038312,4290.8758926384035
张家口,2023,25.82214674053511,405.01,1842.7,2427435.0,16172.0,4077,11775.0,0.9814023419555097,3.16982261399499,4290.8758926384035
承德,2023,25.24123655354693,328.57,1851.7,2467105.0,7543.0,4075,10251.0,0.366634540633976,2.38143128562381,4290.8758926384035
沧州,2023,44.12862500957946,731.81,4440.1,4856412.0,12057.0,755,60460.0,2.134266280192135,18.1844511131272,4290.8758926384035
石家庄,2023,43.24063809087296,1123.35,7534.2,6419351.0,103526.0,16203,183967.0,2.037682341713753,16.6733779169038,4290.8758926384035
秦皇岛,2023,34.300514740634576,309.74,2001.0,1993908.0,67882.0,4861,21410.0,0.7870401375484721,10.6226919648542,4290.8758926384035
衡水,2023,46.27422908314488,415.88,1888.1,1882513.0,13026.0,8208,27117.0,2.467827085528377,10.1496205685808,4290.8758926384035
邢台,2023,45.65264858229845,701.38,2586.1,3786408.0,19264.0,1907,80425.0,2.067288298704998,14.0329175050302,4290.8758926384035
邯郸,2023,46.76175239206874,917.21,4382.2,4968253.0,62414.0,466,86491.0,2.172368812581222,16.18864013267,4290.8758926384035
