Model,Window,Dataset,R²,RMSE,MAE,MAPE
CNN-LSTM_Basic_W7,7,Train,0.6238335371017456,31.91534766384202,22.88529396057129,83.599266
CNN-LSTM_Basic_W7,7,Validation,0.26784592866897583,25.90017905154989,19.73367691040039,128.37642
CNN-LSTM_Basic_W7,7,Test,0.2502143383026123,21.63960751782228,16.812145233154297,118.92588
CNN-LSTM_Optimized_W7,7,Train,-0.5504919290542603,64.79541496727411,42.36781692504883,157.63647
CNN-LSTM_Optimized_W7,7,Validation,0.23660939931869507,26.446909571420747,20.31234359741211,139.05258
CNN-LSTM_Optimized_W7,7,Test,0.18870073556900024,22.509785198608625,18.13279151916504,133.12749
CNN-LSTM_Basic_W14,14,Train,0.6657426357269287,29.93283700963396,22.09621238708496,81.23946
CNN-LSTM_Basic_W14,14,Validation,0.07629728317260742,29.08005707075351,20.301837921142578,126.946556
CNN-LSTM_Basic_W14,14,Test,-0.15783905982971191,26.996312772679023,17.81435775756836,110.72464
CNN-LSTM_Optimized_W14,14,Train,-0.5388827323913574,64.22588920170743,43.62162399291992,161.92987
CNN-LSTM_Optimized_W14,14,Validation,0.19334501028060913,27.175219478615762,21.474699020385742,146.11612
CNN-LSTM_Optimized_W14,14,Test,-0.008146405220031738,25.190811128902364,19.390316009521484,139.96486
CNN-LSTM_Basic_W30,30,Train,0.6937633752822876,28.608430956229384,20.655502319335938,71.84221
CNN-LSTM_Basic_W30,30,Validation,0.11916893720626831,27.833755703155994,19.09910774230957,106.69721
CNN-LSTM_Basic_W30,30,Test,-0.0022701025009155273,25.385962312260908,17.838172912597656,111.65135
CNN-LSTM_Optimized_W30,30,Train,-0.885473370552063,70.98648845356946,47.20844650268555,167.2829
CNN-LSTM_Optimized_W30,30,Validation,-0.06420540809631348,30.59413902651025,21.58432388305664,136.8477
CNN-LSTM_Optimized_W30,30,Test,0.051608264446258545,24.694208938091638,18.230133056640625,120.707825
