Feature,Importance_Weight,Importance_Gain,Importance_Weight_Norm,Importance_Gain_Norm
u100,0,0,,
v100,0,0,,
u10,0,0,,
v10,0,0,,
d2m,0,0,,
t2m,0,0,,
blh,0,0,,
avg_tprate,0,0,,
mn2t,0,0,,
sp,0,0,,
tcwv,0,0,,
tp,0,0,,
wind_speed_10m,0,0,,
wind_dir_10m,0,0,,
wind_speed_100m,0,0,,
wind_dir_100m,0,0,,
month,0,0,,
day,0,0,,
day_of_year,0,0,,
day_of_week,0,0,,
week_of_year,0,0,,
season,0,0,,
is_heating_season,0,0,,
temp_dewpoint_diff,0,0,,
PM2.5_lag1,0,0,,
PM2.5_lag3,0,0,,
PM2.5_lag7,0,0,,
PM2.5_ma3,0,0,,
PM2.5_ma7,0,0,,
PM2.5_ma30,0,0,,
relative_humidity,0,0,,
wind_dir_category,0,0,,
