Model,Concentration_Range,R2,RMSE,MAE,MAPE,Sample_Count
-BPNN,0-115,0.7156916694040083,12.115594734819723,9.514365065384617,60.4517869106293,364
-BPNN,0-150,0.7253147932255866,12.13590762097955,9.537810339178083,60.327726259831095,365
-BPNN,0-250,0.7413286297045458,12.189631867417491,9.580089272677595,60.207911668700355,366
-BPNN,0-35,-0.008092217545951685,8.916757009827913,7.153941676859504,78.21152206945698,242
-BPNN,0-500,0.7413286297045458,12.189631867417491,9.580089272677595,60.207911668700355,366
-BPNN,0-75,0.5790584093098237,11.293863062719147,8.906838842441859,62.71864029685506,344
-CNN- LSTM-Transformer,0-115,0.3216197627273466,18.714858201561928,13.829714763736265,72.49895333130031,364
-CNN- LSTM-Transformer,0-150,0.33087736623646424,18.941199948437074,13.953008394520547,72.43562422620626,365
-CNN- LSTM-Transformer,0-250,0.34653200840115017,19.374413733717493,14.13404361748634,72.38207435633214,366
-CNN- LSTM-Transformer,0-35,-0.8421943945835597,12.053815055418221,8.979873685950412,88.63735428258165,242
-CNN- LSTM-Transformer,0-500,0.34653200840115017,19.374413733717493,14.13404361748634,72.38207435633214,366
-CNN- LSTM-Transformer,0-75,0.16302452073561335,15.925312492665546,12.269525732558138,74.2045870627792,344
-CNN-GridSearch,0-115,0.9355401141225878,5.768922588405722,4.512883210989012,32.74460122228285,364
-CNN-GridSearch,0-150,0.9376321204620173,5.7827592998173,4.526743503561644,32.67690286284834,365
-CNN-GridSearch,0-250,0.9405671721639841,5.842915496862586,4.560855953005464,32.618238939133796,366
-CNN-GridSearch,0-35,0.6795010507298489,5.027708684901362,3.9793152264462814,44.00823827861167,242
-CNN-GridSearch,0-500,0.9405671721639841,5.842915496862586,4.560855953005464,32.618238939133796,366
-CNN-GridSearch,0-75,0.8929400851380259,5.695672972684251,4.462426008139535,34.31995358798868,344
-LightGBM,0-115,0.9715503158001326,3.821619933784229,2.441296269492353,10.28418362276432,363
-LightGBM,0-150,0.9724856698614938,3.830770374300947,2.451984762867881,10.270532129326504,364
-LightGBM,0-250,0.9700383970000626,4.139018950097464,2.5279759454835533,10.296874886211675,365
-LightGBM,0-35,0.9526056332105984,1.9333931010276493,1.4139750215591491,11.433938506297848,242
-LightGBM,0-500,0.9700383970000626,4.139018950097464,2.5279759454835533,10.296874886211675,365
-LightGBM,0-75,0.9668525362033424,3.1450540238418268,2.1339522780873947,10.393511096944765,343
-MLR_GAM,0-115,0.1488946965357224,20.96242887307167,16.293751972021816,107.27230367710962,364
-MLR_GAM,0-150,0.18163525682771708,20.94730184579298,16.28862677390635,107.01157625703092,365
-MLR_GAM,0-250,0.22462946655547944,21.10430544493319,16.390117425890057,106.81536331227099,366
-MLR_GAM,0-35,-5.176626627111639,22.071531883233185,17.105635057936674,147.29531853421395,242
-MLR_GAM,0-500,0.22462946655547944,21.10430544493319,16.390117425890057,106.81536331227099,366
-MLR_GAM,0-75,-0.4527955282441791,20.98137029803054,16.29566636120627,112.51587023372475,344
-RF,0-115,0.6674413048688018,13.103403279786013,9.966331312816628,69.5214470183743,364
-RF,0-150,0.6806431196392781,13.08557388781833,9.942111907895947,69.33356738135687,365
-RF,0-250,0.6914405762598455,13.31330326715993,10.048003878057346,69.2317768438814,366
-RF,0-35,-1.003539556751722,12.570592918447366,9.145188663969973,94.18773000452089,242
-RF,0-500,0.6914405762598455,13.31330326715993,10.048003878057346,69.2317768438814,366
-RF,0-75,0.49241251651227347,12.401866544644543,9.369654224897566,72.30770969498784,344
-SVR,0-115,-0.5256541234568743,27.985741105784715,23.927569224025156,146.22729456598304,363
-SVR,0-150,-0.4669460603605493,27.971368880214786,23.922675877478014,145.87664213181375,364
-SVR,0-250,-0.3893933478395921,28.185613986735312,24.054201241336173,145.6067900379965,365
-SVR,0-35,-10.203337253242049,29.72559160345031,26.22700763103889,200.19093591251672,242
-SVR,0-500,-0.3893933478395921,28.185613986735312,24.054201241336173,145.6067900379965,365
-SVR,0-75,-1.7256550175939012,28.519269742288646,24.555465443850366,153.93306981499774,343
-Transformer,0-115,0.39571789749939856,17.663217610188376,13.170490939155735,78.70843034262278,364
-Transformer,0-150,0.4138003492282091,17.72872131090704,13.22764546941671,78.57105537922503,365
-Transformer,0-250,0.43118350281177453,18.07600735764299,13.382083336336079,78.48191661615314,366
-Transformer,0-35,-1.527299224992789,14.118388684600953,10.559429306857574,102.76820876597144,242
-Transformer,0-500,0.43118350281177453,18.07600735764299,13.382083336336079,78.48191661615314,366
-Transformer,0-75,0.21926007405005332,15.381007928411085,11.72822487592855,80.9215807428881,344
-XGBOOST,0-115,0.9761077858507281,3.5121912211585324,2.628791486247205,15.911721156597524,364
-XGBOOST,0-150,0.9769771580970977,3.513452617773905,2.6324000150093014,15.877201961660624,365
-XGBOOST,0-250,0.9785546967531411,3.5098011627367045,2.629906995192076,15.836917123451316,366
-XGBOOST,0-35,0.90578533070694,2.7259385782122583,2.162297542132886,20.632041262386185,242
-XGBOOST,0-500,0.9785546967531411,3.5098011627367045,2.629906995192076,15.836917123451316,366
-XGBOOST,0-75,0.9638357804022085,3.3103289363253996,2.53903653260999,16.581222251250516,344
