Feature,Importance,Importance_Norm
blh,0.02058700532319535,26.223242393653383
wind_speed_10m,0.014206431164593858,18.095817343484992
sp,0.01292340740801845,16.461531907730777
is_heating_season,0.011733384214071996,14.94570839775347
tcwv,0.010450609674675038,13.311740408970127
v100,0.008617996135809936,10.977400455727647
season,0.008467193572019083,10.785311702565654
d2m,0.00607138274524599,7.7335843117428595
mn2t,0.005611682465029522,7.148028924385735
day_of_week,0.004501584259729574,5.734011982079829
v10,0.00438321082483073,5.583230689337639
t2m,0.004034916762669427,5.139581918040366
u10,0.0027653129053563097,3.522390433821538
avg_tprate,0.0024710466537468667,3.1475610148223643
wind_dir_category,0.0015539011122618351,1.9793226301203999
temp_dewpoint_diff,0.0014714676307481245,1.8743208033296321
relative_humidity,1.9005746064282292e-05,0.024209071600829697
PM2.5_ma7,-0.0008988957009177234,-1.1449921677156183
day_of_year,-0.001037797853002953,-1.3219224567959404
wind_dir_100m,-0.0011124313541317488,-1.4169888523237208
PM2.5_lag1,-0.0013935037244388049,-1.7750122161403203
week_of_year,-0.001760698582823128,-2.242736376403023
wind_dir_10m,-0.0019422813226405156,-2.474032192670679
PM2.5_ma3,-0.002003479306468825,-2.5519847427739473
month,-0.0021987411192027073,-2.8007046398721234
day,-0.0025414818116720195,-3.237279659681579
PM2.5_lag7,-0.0032292378393032894,-4.113327085576532
PM2.5_lag3,-0.0033788243628395387,-4.30386687530959
wind_speed_100m,-0.003933761837597305,-5.010733157483171
tp,-0.0050111764124066704,-6.38311846122854
PM2.5_ma30,-0.005194531581058426,-6.616671955590676
u100,-0.005725994017803049,-7.293636287366192
